Year,County Name,Population
2003,New York City,111714
2003,New York City,40952
2003,New York City,94034
2003,New York City,495977
2003,New York City,234714
2003,New York City,114618
2003,New York City,48440
2003,New York City,98205
2003,New York City,210031
2003,New York City,104228
2003,New York City,43515
2003,New York City,22627
2003,New York City,39661
2003,New York City,285946
2003,New York City,130486
2003,New York City,71103
2003,New York City,25813
2003,New York City,58544
2003,New York City,336342
2003,New York City,197623
2003,New York City,66837
2003,New York City,23291
2003,New York City,48591
2003,New York City,124973
2003,New York City,76338
2003,New York City,21828
2003,New York City,9989
2003,New York City,16818
2003,New York City,211369
2003,New York City,121285
2003,New York City,45009
2003,New York City,13302
2003,New York City,31773
2003,New York City,135711
2003,New York City,90566
2003,New York City,23077
2003,New York City,7034
2003,New York City,15034
2003,New York City,39821
2003,New York City,27149
2003,New York City,5859
2003,New York City,2561
2003,New York City,4252
2003,New York City,95890
2003,New York City,63417
2003,New York City,17218
2003,New York City,4473
2003,New York City,10782
2003,Bronx,1363198
2003,Bronx,179554
2003,Bronx,434154
2003,Bronx,50183
2003,Bronx,699307
2003,Bronx,637719
2003,Bronx,84949
2003,Bronx,197508
2003,Bronx,24791
2003,Bronx,330471
2003,Bronx,725479
2003,Bronx,94605
2003,Bronx,236646
2003,Bronx,25392
2003,Bronx,368836
2003,Bronx,24752
2003,Bronx,1802
2003,Bronx,8325
2003,Bronx,661
2003,Bronx,13964
2003,Bronx,12484
2003,Bronx,932
2003,Bronx,4208
2003,Bronx,337
2003,Bronx,7007
2003,Bronx,12268
2003,Bronx,870
2003,Bronx,4117
2003,Bronx,324
2003,Bronx,6957
2003,Bronx,198637
2003,Bronx,14385
2003,Bronx,62606
2003,Bronx,6435
2003,Bronx,115211
2003,Bronx,101051
2003,Bronx,7462
2003,Bronx,31721
2003,Bronx,3257
2003,Bronx,58611
2003,Bronx,97586
2003,Bronx,6923
2003,Bronx,30885
2003,Bronx,3178
2003,Bronx,56600
2003,Bronx,213052
2003,Bronx,16728
2003,Bronx,68931
2003,Bronx,6730
2003,Bronx,120663
2003,Bronx,108928
2003,Bronx,8813
2003,Bronx,35170
2003,Bronx,3485
2003,Bronx,61460
2003,Bronx,104124
2003,Bronx,7915
2003,Bronx,33761
2003,Bronx,3245
2003,Bronx,59203
2003,Bronx,105269
2003,Bronx,10055
2003,Bronx,31794
2003,Bronx,3616
2003,Bronx,59804
2003,Bronx,51717
2003,Bronx,5257
2003,Bronx,15341
2003,Bronx,1818
2003,Bronx,29301
2003,Bronx,53552
2003,Bronx,4798
2003,Bronx,16453
2003,Bronx,1798
2003,Bronx,30503
2003,Bronx,206283
2003,Bronx,20751
2003,Bronx,62925
2003,Bronx,8844
2003,Bronx,113763
2003,Bronx,96319
2003,Bronx,10662
2003,Bronx,28056
2003,Bronx,4264
2003,Bronx,53337
2003,Bronx,109964
2003,Bronx,10089
2003,Bronx,34869
2003,Bronx,4580
2003,Bronx,60426
2003,Bronx,208244
2003,Bronx,23046
2003,Bronx,70197
2003,Bronx,9059
2003,Bronx,105942
2003,Bronx,97070
2003,Bronx,12145
2003,Bronx,31616
2003,Bronx,4628
2003,Bronx,48681
2003,Bronx,111174
2003,Bronx,10901
2003,Bronx,38581
2003,Bronx,4431
2003,Bronx,57261
2003,Bronx,159258
2003,Bronx,23731
2003,Bronx,53248
2003,Bronx,6878
2003,Bronx,75401
2003,Bronx,72237
2003,Bronx,11891
2003,Bronx,23357
2003,Bronx,3357
2003,Bronx,33632
2003,Bronx,87021
2003,Bronx,11840
2003,Bronx,29891
2003,Bronx,3521
2003,Bronx,41769
2003,Bronx,110650
2003,Bronx,21205
2003,Bronx,36618
2003,Bronx,4304
2003,Bronx,48523
2003,Bronx,47667
2003,Bronx,9922
2003,Bronx,14531
2003,Bronx,2020
2003,Bronx,21194
2003,Bronx,62983
2003,Bronx,11283
2003,Bronx,22087
2003,Bronx,2284
2003,Bronx,27329
2003,Bronx,71771
2003,Bronx,19127
2003,Bronx,21959
2003,Bronx,2316
2003,Bronx,28369
2003,Bronx,28840
2003,Bronx,8160
2003,Bronx,8207
2003,Bronx,1088
2003,Bronx,11385
2003,Bronx,42931
2003,Bronx,10967
2003,Bronx,13752
2003,Bronx,1228
2003,Bronx,16984
2003,Bronx,46309
2003,Bronx,18594
2003,Bronx,13164
2003,Bronx,1048
2003,Bronx,13503
2003,Bronx,16192
2003,Bronx,6895
2003,Bronx,4203
2003,Bronx,440
2003,Bronx,4654
2003,Bronx,30117
2003,Bronx,11699
2003,Bronx,8961
2003,Bronx,608
2003,Bronx,8849
2003,Bronx,18973
2003,Bronx,10130
2003,Bronx,4387
2003,Bronx,292
2003,Bronx,4164
2003,Bronx,5214
2003,Bronx,2810
2003,Bronx,1098
2003,Bronx,97
2003,Bronx,1209
2003,Bronx,13759
2003,Bronx,7320
2003,Bronx,3289
2003,Bronx,195
2003,Bronx,2955
2003,Kings,2472523
2003,Kings,861512
2003,Kings,882768
2003,Kings,225148
2003,Kings,503095
2003,Kings,1162696
2003,Kings,415193
2003,Kings,388627
2003,Kings,114294
2003,Kings,244582
2003,Kings,1309827
2003,Kings,446319
2003,Kings,494141
2003,Kings,110854
2003,Kings,258513
2003,Kings,40340
2003,Kings,12217
2003,Kings,14658
2003,Kings,3493
2003,Kings,9972
2003,Kings,20636
2003,Kings,6336
2003,Kings,7417
2003,Kings,1798
2003,Kings,5085
2003,Kings,19704
2003,Kings,5881
2003,Kings,7241
2003,Kings,1695
2003,Kings,4887
2003,Kings,318129
2003,Kings,93172
2003,Kings,119136
2003,Kings,27475
2003,Kings,78346
2003,Kings,162716
2003,Kings,48300
2003,Kings,60346
2003,Kings,14160
2003,Kings,39910
2003,Kings,155413
2003,Kings,44872
2003,Kings,58790
2003,Kings,13315
2003,Kings,38436
2003,Kings,343738
2003,Kings,95093
2003,Kings,140143
2003,Kings,28466
2003,Kings,80036
2003,Kings,175165
2003,Kings,49410
2003,Kings,69843
2003,Kings,14910
2003,Kings,41002
2003,Kings,168573
2003,Kings,45683
2003,Kings,70300
2003,Kings,13556
2003,Kings,39034
2003,Kings,180570
2003,Kings,50778
2003,Kings,68381
2003,Kings,15842
2003,Kings,45569
2003,Kings,90640
2003,Kings,26122
2003,Kings,32131
2003,Kings,8383
2003,Kings,24004
2003,Kings,89930
2003,Kings,24656
2003,Kings,36250
2003,Kings,7459
2003,Kings,21565
2003,Kings,379229
2003,Kings,125525
2003,Kings,126651
2003,Kings,39995
2003,Kings,87058
2003,Kings,180488
2003,Kings,62998
2003,Kings,54028
2003,Kings,19663
2003,Kings,43799
2003,Kings,198741
2003,Kings,62527
2003,Kings,72623
2003,Kings,20332
2003,Kings,43259
2003,Kings,367367
2003,Kings,115627
2003,Kings,135773
2003,Kings,40630
2003,Kings,75337
2003,Kings,172711
2003,Kings,59214
2003,Kings,56651
2003,Kings,20736
2003,Kings,36110
2003,Kings,194656
2003,Kings,56413
2003,Kings,79122
2003,Kings,19894
2003,Kings,39227
2003,Kings,324853
2003,Kings,118953
2003,Kings,116090
2003,Kings,33599
2003,Kings,56211
2003,Kings,148988
2003,Kings,57960
2003,Kings,47935
2003,Kings,17573
2003,Kings,25520
2003,Kings,175865
2003,Kings,60993
2003,Kings,68155
2003,Kings,16026
2003,Kings,30691
2003,Kings,224411
2003,Kings,89721
2003,Kings,79817
2003,Kings,17556
2003,Kings,37317
2003,Kings,98877
2003,Kings,41898
2003,Kings,31805
2003,Kings,8754
2003,Kings,16420
2003,Kings,125534
2003,Kings,47823
2003,Kings,48012
2003,Kings,8802
2003,Kings,20897
2003,Kings,150430
2003,Kings,70415
2003,Kings,47848
2003,Kings,11497
2003,Kings,20670
2003,Kings,62608
2003,Kings,30682
2003,Kings,18026
2003,Kings,5522
2003,Kings,8378
2003,Kings,87822
2003,Kings,39733
2003,Kings,29822
2003,Kings,5975
2003,Kings,12292
2003,Kings,102804
2003,Kings,62056
2003,Kings,25661
2003,Kings,5135
2003,Kings,9952
2003,Kings,37669
2003,Kings,23594
2003,Kings,8233
2003,Kings,2272
2003,Kings,3570
2003,Kings,65135
2003,Kings,38462
2003,Kings,17428
2003,Kings,2863
2003,Kings,6382
2003,Kings,40652
