Erie,East Aurora-Town Of Aurora PD,2018,80
Erie,Eden Town PD,2018,35
Erie,Erie County Park PD,2018,8
Erie,Erie County Sheriff,2018,621
Erie,Erie County State Police,2018,261
Erie,Evans Town PD,2018,200
Erie,Gowanda Vg PD,2018,41
Erie,Hamburg Town PD,2018,929
Erie,Hamburg Vg PD,2018,105
Erie,Kenmore Vg PD,2018,199
Erie,Lackawanna City PD,2018,385
Erie,Lancaster Town PD,2018,426
Erie,Orchard Park Town PD,2018,359
Erie,SUNY Police - Buffalo,2018,206
Erie,SUNY Police - Buffalo State College,2018,144
Erie,Tonawanda City PD,2018,272
Erie,Tonawanda Town PD,2018,852
Erie,West Seneca Town PD,2018,692
Essex,County Total,2018,292
Essex,Essex County Sheriff,2018,4
Essex,Essex County State Police,2018,218
Essex,Lake Placid Vg PD,2018,20
Essex,Ticonderoga Town PD,2018,50
Franklin,County Total,2018,515
Franklin,Franklin County State Police,2018,296
Franklin,Malone Vg PD,2018,116
Franklin,Saranac Lake Vg PD,2018,36
Franklin,Tupper Lake Vg PD,2018,67
Fulton,County Total,2018,940
Fulton,Fulton County Sheriff,2018,229
Fulton,Fulton County State Police,2018,101
Fulton,Gloversville City PD,2018,446
Fulton,Johnstown City PD,2018,163
Fulton,Northville Vg PD,2018,1
Genesee,Batavia City PD,2018,433
Genesee,County Total,2018,945
Genesee,Genesee County Park PD,2018,2
Genesee,Genesee County Sheriff,2018,332
Genesee,Genesee County State Police,2018,116
Genesee,LeRoy Vg PD,2018,62
Greene,Cairo Town PD,2018,43
Greene,Catskill Vg PD,2018,142
Greene,County Total,2018,605
Greene,Coxsackie Vg PD,2018,4
Greene,Durham Town PD,2018,6
Greene,Greene County Sheriff,2018,26
Greene,Greene County State Police,2018,382
Greene,Windham Town PD,2018,2
Hamilton,County Total,2018,46
Hamilton,Hamilton County Sheriff,2018,6
Hamilton,Hamilton County State Police,2018,39
Hamilton,Inlet Town PD,2018,1
Herkimer,County Total,2018,642
Herkimer,Dolgeville Vg PD,2018,8
Herkimer,Frankfort Town PD,2018,6
Herkimer,Frankfort Vg PD,2018,14
Herkimer,Herkimer County State Police,2018,213
Herkimer,Herkimer Vg PD,2018,146
Herkimer,Ilion Vg PD,2018,184
Herkimer,Little Falls City PD,2018,71
Jefferson,Adams Vg PD,2018,2
Jefferson,Alexandria Bay Vg PD,2018,10
Jefferson,Black River Vg PD,2018,4
Jefferson,Brownville Vg PD,2018,3
Jefferson,Carthage Vg PD,2018,50
Jefferson,Clayton Vg PD,2018,6
Jefferson,County Total,2018,2002
Jefferson,Dexter Vg PD,2018,1
Jefferson,Jefferson County Park PD,2018,7
Jefferson,Jefferson County Sheriff,2018,271
Jefferson,Jefferson County State Police,2018,554
Jefferson,Watertown City PD,2018,1079
Jefferson,West Carthage Vg PD,2018,15
Kings,County Total,2018,50106
Lewis,County Total,2018,206
Lewis,Lewis County Sheriff,2018,77
Lewis,Lewis County State Police,2018,98
Lewis,Lowville Vg PD,2018,31
Livingston,Caledonia Vg PD,2018,2
Livingston,County Total,2018,633
Livingston,Dansville Vg PD,2018,88
Livingston,Geneseo Vg PD,2018,90
Livingston,Livingston County Park PD,2018,3
Livingston,Livingston County Sheriff,2018,283
Livingston,Livingston County State Police,2018,48
Livingston,Mount Morris Vg PD,2018,59
Livingston,Nunda Town and Vg PD,2018,1
Livingston,SUNY Police - Geneseo,2018,59
Madison,Canastota Vg PD,2018,45
Madison,Cazenovia Vg PD,2018,36
Madison,Chittenango Vg PD,2018,29
Madison,County Total,2018,936
Madison,Hamilton Vg PD,2018,10
Madison,Madison County Park PD,2018,1
Madison,Madison County Sheriff,2018,152
Madison,Madison County State Police,2018,200
Madison,Oneida City PD,2018,430
Madison,SUNY Police - Morrisville,2018,33
Monroe,Brighton Town PD,2018,645
Monroe,Brockport Vg PD,2018,97
Monroe,County Total,2018,16808
Monroe,East Rochester Vg PD,2018,107
Monroe,Fairport Vg PD,2018,23
Monroe,Gates Town PD,2018,879
Monroe,Greece Town PD,2018,2229
Monroe,Irondequoit Town PD,2018,1013
Monroe,Monroe County Park PD,2018,4
Monroe,Monroe County Sheriff,2018,2410
Monroe,Monroe County State Police,2018,99
Monroe,Ogden Town PD,2018,203
Monroe,Rochester City PD,2018,8651
Monroe,SUNY Police - Brockport,2018,52
Monroe,Webster Town and Vg PD,2018,396
Montgomery,Amsterdam City PD,2018,226
Montgomery,Canajoharie Vg PD,2018,20
Montgomery,County Total,2018,713
Montgomery,Fort Plain Vg PD,2018,124
Montgomery,Montgomery County Sheriff,2018,197
Montgomery,Montgomery County State Police,2018,128
Montgomery,St Johnsville Vg PD,2018,18
Nassau,Centre Island Vg PD,2018,4
Nassau,County Total,2018,13457
Nassau,Floral Park Vg PD,2018,54
Nassau,Freeport Vg PD,2018,492
Nassau,Garden City Vg PD,2018,368
Nassau,Glen Cove City PD,2018,115
Nassau,Hempstead Vg PD,2018,911
Nassau,Kings Point Vg PD,2018,11
Nassau,Lake Success Vg PD,2018,24
Nassau,Long Beach City PD,2018,109
Nassau,Lynbrook Vg PD,2018,117
Nassau,Malverne Vg PD,2018,19
Nassau,Nassau County MTA,2018,43
Nassau,Nassau County Park PD,2018,48
Nassau,Nassau County PD,2018,10650
Nassau,Nassau County State Police,2018,16
Nassau,Old Brookville Vg PD,2018,33
Nassau,Old Westbury Vg PD,2018,36
Nassau,Oyster Bay Cove Vg PD,2018,3
Nassau,Port Washington Police District,2018,194
Nassau,Rockville Centre Vg PD,2018,200
Nassau,Sands Point Vg PD,2018,10
New York,County Total,2018,49830
Niagara,County Total,2018,4241
Niagara,Lewiston Town PD,2018,168
Niagara,Middleport Vg PD,2018,29
Niagara,Niagara County Park PD,2018,40
Niagara,Niagara County Sheriff,2018,656
Niagara,Niagara County State Police,2018,249
Niagara,Niagara Falls City PD,2018,2380
Niagara,Niagara Town PD,2018,270
Niagara,North Tonawanda City PD,2018,447
Niagara,Youngstown Vg PD,2018,2
Oneida,Boonville Vg PD,2018,16
Oneida,Camden Vg PD,2018,19
Oneida,County Total,2018,4642
Oneida,Kirkland Town PD,2018,6
Oneida,New Hartford Town and Vg PD,2018,700
Oneida,New York Mills Vg PD,2018,33
Oneida,Oneida County Park PD,2018,2
Oneida,Oneida County Sheriff,2018,398
Oneida,Oneida County State Police,2018,468
Oneida,Oriskany Vg PD,2018,8
Oneida,Rome City PD,2018,589
Oneida,Sherrill City PD,2018,6
Oneida,SUNY Police - Polytechnic Institute,2018,10
Oneida,Utica City PD,2018,2295
Oneida,Vernon Vg PD,2018,10
Oneida,Whitesboro Vg PD,2018,17
Oneida,Whitestown Town PD,2018,30
Oneida,Yorkville Vg PD,2018,35
Onondaga,Baldwinsville Vg PD,2018,53
Onondaga,Camillus Town and Vg PD,2018,289
Onondaga,Cicero Town PD,2018,229
Onondaga,County Total,2018,9878
Onondaga,DeWitt Town PD,2018,618
Onondaga,Geddes Town PD,2018,222
Onondaga,Jordan Vg PD,2018,1
Onondaga,Liverpool Vg PD,2018,19
Onondaga,Manlius Town PD,2018,279
Onondaga,Marcellus Vg PD,2018,11
Onondaga,North Syracuse Vg PD,2018,7
Onondaga,Onondaga County Park PD,2018,5
Onondaga,Onondaga County Park Rangers,2018,13
Onondaga,Onondaga County Sheriff,2018,1833
Onondaga,Onondaga County State Police,2018,594
Onondaga,Skaneateles Vg PD,2018,17
Onondaga,Solvay Vg PD,2018,124
Onondaga,SUNY Police - Environmental Science,2018,21
Onondaga,SUNY Police - Upstate Medical,2018,117
Onondaga,Syracuse City PD,2018,5426
Ontario,Canandaigua City PD,2018,218
Ontario,Clifton Springs Vg PD,2018,2
Ontario,County Total,2018,1452
Ontario,Geneva City PD,2018,252
Ontario,Ontario County Sheriff,2018,692
Ontario,Ontario County State Police,2018,286
Ontario,Phelps Vg PD,2018,2
Orange,Blooming Grove Town PD,2018,89
Orange,Chester Town PD,2018,21
Orange,Chester Vg PD,2018,22
Orange,Cornwall-on-Hudson Vg PD,2018,10
Orange,Cornwall Town PD,2018,19
Orange,County Total,2018,5905
Orange,Crawford Town PD,2018,91
Orange,Deerpark Town PD,2018,69
Orange,Florida Vg PD,2018,5
Orange,Goshen Town PD,2018,44
Orange,Goshen Vg PD,2018,42
Orange,Greenwood Lake Vg PD,2018,21
Orange,Harriman Vg PD,2018,31
Orange,Highland Falls Vg PD,2018,17
Orange,Highlands Town PD,2018,5
Orange,Maybrook Vg PD,2018,11
Orange,Middletown City PD,2018,620
Orange,Monroe Vg PD,2018,92
Orange,Montgomery Town PD,2018,38
Orange,Montgomery Vg PD,2018,15
Orange,Newburgh City PD,2018,986
Orange,Newburgh Town PD,2018,1012
Orange,New Windsor Town PD,2018,369
Orange,Orange County MTA,2018,2
Orange,Orange County Park PD,2018,5
