Richmond,2017,636,80,1466,638
Rockland,2017,124,82,375,606
Saratoga,2017,132,137,453,891
Schenectady,2017,287,50,221,256
Schoharie,2017,11,15,29,55
Schuyler,2017,24,14,23,62
Seneca,2017,33,28,52,112
Steuben,2017,148,58,184,257
St. Lawrence,2017,145,39,272,273
Suffolk,2017,895,510,4373,2767
Sullivan,2017,76,64,336,322
Tioga,2017,34,25,110,112
Tompkins,2017,45,29,98,176
Ulster,2017,229,121,667,721
Unknown-NonNYS,2017,8,1,3,1
Warren,2017,85,32,185,259
Washington,2017,44,48,153,198
Wayne,2017,44,68,115,224
Westchester,2017,605,228,1702,1545
Wyoming,2017,41,38,70,177
Yates,2017,20,9,31,59
Albany,2016,622,161,720,1076
Allegany,2016,44,36,48,190
Bronx,2016,4471,132,9119,1071
Broome,2016,240,84,774,344
Cattaraugus,2016,109,64,74,293
Cayuga,2016,50,38,74,173
Chautauqua,2016,197,83,328,510
Chemung,2016,87,51,230,233
Chenango,2016,41,12,55,97
Clinton,2016,108,47,173,381
Columbia,2016,32,38,153,155
Cortland,2016,97,38,118,131
Delaware,2016,94,20,85,144
Dutchess,2016,232,181,552,948
Erie,2016,1001,309,3112,1960
Essex,2016,40,22,60,148
Franklin,2016,99,31,80,166
Fulton,2016,53,31,53,155
Genesee,2016,58,33,97,189
Greene,2016,63,38,162,275
Hamilton,2016,1,0,8,24
Herkimer,2016,15,37,59,156
Jefferson,2016,129,54,144,374
Kings,2016,3548,305,9672,1528
Lewis,2016,34,23,28,79
Livingston,2016,72,54,182,215
Madison,2016,44,27,104,146
Monroe,2016,554,423,855,1873
Montgomery,2016,59,32,97,153
Nassau,2016,1115,289,3781,2008
New York,2016,3911,112,11861,1419
Niagara,2016,198,95,487,603
Oneida,2016,308,57,532,557
Onondaga,2016,570,206,1220,1132
Ontario,2016,65,77,103,312
Orange,2016,509,178,1534,1096
Orleans,2016,51,23,45,118
Oswego,2016,119,57,209,366
Otsego,2016,66,37,100,184
Putnam,2016,82,41,224,445
Queens,2016,1877,327,5273,1834
Rensselaer,2016,160,58,326,444
Richmond,2016,725,71,1793,642
Rockland,2016,111,79,338,596
Saratoga,2016,175,127,387,822
Schenectady,2016,295,54,248,259
Schoharie,2016,8,21,29,92
Schuyler,2016,36,13,19,64
Seneca,2016,58,41,55,122
Steuben,2016,125,83,137,301
St. Lawrence,2016,87,56,222,299
Suffolk,2016,786,488,3820,3082
Sullivan,2016,74,61,253,252
Tioga,2016,21,27,63,120
Tompkins,2016,67,41,137,259
Ulster,2016,211,112,565,708
Unknown-NonNYS,2016,17,2,3,3
Warren,2016,82,40,136,244
Washington,2016,54,22,127,201
Wayne,2016,43,50,94,238
Westchester,2016,773,225,1614,1725
Wyoming,2016,60,19,42,90
Yates,2016,36,11,19,56
Albany,2015,509,161,692,1173
Allegany,2015,33,38,43,136
Bronx,2015,4333,156,10988,921
Broome,2015,216,91,566,336
Cattaraugus,2015,103,47,78,274
Cayuga,2015,68,27,85,193
Chautauqua,2015,180,90,246,504
Chemung,2015,94,55,208,217
Chenango,2015,51,18,58,105
Clinton,2015,113,53,129,345
Columbia,2015,43,38,137,153
Cortland,2015,61,32,113,149
