Albany,SUNY Police - Albany,2012,63,0
Albany,SUNY Police - Albany,2011,68,0
Albany,SUNY Police - Albany,2010,66,0
Albany,SUNY Police - Albany,2009,70,0
Albany,SUNY Police - Albany,2007,69,0
Albany,SUNY Police - Nanoscale Science and Engineering,2019,4,0
Albany,SUNY Police - Nanoscale Science and Engineering,2018,6,0
Albany,SUNY Police - Nanoscale Science and Engineering,2017,5,0
Albany,SUNY Police - Nanoscale Science and Engineering,2016,11,0
Albany,Watervliet City PD,2019,24,0
Albany,Watervliet City PD,2018,23,0
Albany,Watervliet City PD,2017,25,0
Albany,Watervliet City PD,2016,24,1
Albany,Watervliet City PD,2015,24,3
Albany,Watervliet City PD,2014,25,1
Albany,Watervliet City PD,2013,26,3
Albany,Watervliet City PD,2012,27,3
Albany,Watervliet City PD,2011,29,4
Albany,Watervliet City PD,2010,30,5
Albany,Watervliet City PD,2009,30,5
Albany,Watervliet City PD,2008,29,0
Albany,Watervliet City PD,2007,30,0
Allegany,Alfred Vg PD,2019,5,10
Allegany,Alfred Vg PD,2018,5,10
Allegany,Alfred Vg PD,2017,5,10
Allegany,Alfred Vg PD,2016,5,10
Allegany,Alfred Vg PD,2015,5,9
Allegany,Alfred Vg PD,2014,5,8
Allegany,Alfred Vg PD,2013,6,9
Allegany,Alfred Vg PD,2012,6,8
Allegany,Alfred Vg PD,2011,6,7
Allegany,Alfred Vg PD,2010,6,8
Allegany,Alfred Vg PD,2009,6,8
Allegany,Alfred Vg PD,2008,6,9
Allegany,Alfred Vg PD,2007,6,9
Allegany,Allegany County Sheriff,2018,34,18
Allegany,Allegany County Sheriff,2017,46,13
Allegany,Allegany County Sheriff,2016,45,20
Allegany,Allegany County Sheriff,2015,35,5
Allegany,Allegany County Sheriff,2014,47,22
Allegany,Allegany County Sheriff,2013,46,17
Allegany,Allegany County Sheriff,2012,45,15
Allegany,Allegany County Sheriff,2011,44,16
Allegany,Allegany County Sheriff,2010,47,12
Allegany,Allegany County Sheriff,2009,50,13
Allegany,Allegany County Sheriff,2008,46,19
Allegany,Andover Vg PD,2017,1,9
Allegany,Andover Vg PD,2016,0,9
Allegany,Andover Vg PD,2015,1,9
Allegany,Andover Vg PD,2014,1,9
Allegany,Andover Vg PD,2010,1,8
Allegany,Angelica Vg PD,2019,0,6
Allegany,Angelica Vg PD,2018,0,6
Allegany,Angelica Vg PD,2017,0,6
Allegany,Angelica Vg PD,2016,0,6
Allegany,Angelica Vg PD,2015,0,6
Allegany,Angelica Vg PD,2014,0,6
Allegany,Angelica Vg PD,2013,0,5
Allegany,Angelica Vg PD,2012,0,5
Allegany,Angelica Vg PD,2010,0,8
Allegany,Belmont Vg PD,2019,1,5
Allegany,Belmont Vg PD,2018,1,4
Allegany,Belmont Vg PD,2017,1,3
Allegany,Belmont Vg PD,2016,1,4
Allegany,Belmont Vg PD,2015,1,4
Allegany,Belmont Vg PD,2014,1,4
Allegany,Belmont Vg PD,2013,1,5
Allegany,Belmont Vg PD,2012,1,5
Allegany,Belmont Vg PD,2011,1,5
Allegany,Belmont Vg PD,2010,1,5
Allegany,Belmont Vg PD,2009,1,3
Allegany,Belmont Vg PD,2008,1,4
Allegany,Belmont Vg PD,2007,1,5
Allegany,Bolivar Vg PD,2019,1,6
Allegany,Bolivar Vg PD,2018,1,6
Allegany,Bolivar Vg PD,2016,1,6
Allegany,Bolivar Vg PD,2014,1,7
Allegany,Bolivar Vg PD,2013,1,6
Allegany,Bolivar Vg PD,2012,1,7
Allegany,Bolivar Vg PD,2011,1,7
Allegany,Bolivar Vg PD,2010,1,9
Allegany,Bolivar Vg PD,2009,1,7
Allegany,Bolivar Vg PD,2008,1,7
Allegany,Bolivar Vg PD,2007,1,6
Allegany,Cuba Town PD,2019,5,11
Allegany,Cuba Town PD,2018,4,13
Allegany,Cuba Town PD,2017,4,9
Allegany,Cuba Town PD,2016,4,11
Allegany,Cuba Town PD,2015,4,11
Allegany,Cuba Town PD,2014,4,15
Allegany,Cuba Town PD,2013,4,12
Allegany,Cuba Town PD,2012,4,11
Allegany,Cuba Town PD,2011,4,10
Allegany,Cuba Town PD,2010,4,11
Allegany,Cuba Town PD,2009,4,11
Allegany,Cuba Town PD,2007,4,14
Allegany,Friendship Town PD,2019,0,6
Allegany,Friendship Town PD,2018,0,6
Allegany,Friendship Town PD,2017,0,7
Allegany,Friendship Town PD,2016,0,6
Allegany,Friendship Town PD,2015,0,8
Allegany,Friendship Town PD,2014,0,9
Allegany,Friendship Town PD,2013,0,7
Allegany,Friendship Town PD,2012,0,8
Allegany,Friendship Town PD,2011,0,7
Allegany,Friendship Town PD,2010,0,6
Allegany,Friendship Town PD,2009,0,6
Allegany,Friendship Town PD,2008,0,5
Allegany,Friendship Town PD,2007,0,4
Allegany,Independence Town PD,2019,0,5
Allegany,Independence Town PD,2018,0,5
Allegany,Independence Town PD,2017,0,3
Allegany,Independence Town PD,2016,0,5
Allegany,Independence Town PD,2015,0,6
Allegany,Independence Town PD,2014,0,7
Allegany,Independence Town PD,2013,0,6
Allegany,Independence Town PD,2012,0,2
Allegany,Independence Town PD,2011,0,2
Allegany,Independence Town PD,2010,0,1
Allegany,Independence Town PD,2009,0,1
Allegany,Independence Town PD,2008,0,1
Allegany,Independence Town PD,2007,0,3
Allegany,SUNY Police - Alfred,2019,17,0
Allegany,SUNY Police - Alfred,2018,16,0
Allegany,SUNY Police - Alfred,2017,16,0
Allegany,SUNY Police - Alfred,2016,15,0
Allegany,SUNY Police - Alfred,2015,15,0
Allegany,SUNY Police - Alfred,2014,16,0
Allegany,SUNY Police - Alfred,2013,17,0
Allegany,SUNY Police - Alfred,2012,17,0
Allegany,SUNY Police - Alfred,2011,16,0
Allegany,SUNY Police - Alfred,2010,15,0
Allegany,SUNY Police - Alfred,2009,15,0
Allegany,SUNY Police - Alfred,2008,17,0
Allegany,SUNY Police - Alfred,2007,15,0
Allegany,Wellsville Vg PD,2019,12,10
Allegany,Wellsville Vg PD,2018,12,10
Allegany,Wellsville Vg PD,2017,11,12
Allegany,Wellsville Vg PD,2016,11,12
Allegany,Wellsville Vg PD,2015,11,11
Allegany,Wellsville Vg PD,2014,11,18
Allegany,Wellsville Vg PD,2013,12,20
Allegany,Wellsville Vg PD,2012,12,18
Allegany,Wellsville Vg PD,2011,12,17
Allegany,Wellsville Vg PD,2010,12,16
Allegany,Wellsville Vg PD,2009,14,13
Allegany,Wellsville Vg PD,2008,15,18
Allegany,Wellsville Vg PD,2007,15,18
Broome,Binghamton City PD,2019,144,2
Broome,Binghamton City PD,2018,146,2
Broome,Binghamton City PD,2017,150,1
Broome,Binghamton City PD,2016,145,1
Broome,Binghamton City PD,2015,145,1
Broome,Binghamton City PD,2014,139,1
Broome,Binghamton City PD,2013,140,1
Broome,Binghamton City PD,2012,135,2
Broome,Binghamton City PD,2011,138,2
Broome,Binghamton City PD,2010,135,2
Broome,Binghamton City PD,2009,145,1
Broome,Binghamton City PD,2008,153,1
Broome,Binghamton City PD,2007,154,0
Broome,Broome County Sheriff,2019,59,7
Broome,Broome County Sheriff,2018,65,5
Broome,Broome County Sheriff,2017,65,4
Broome,Broome County Sheriff,2016,62,8
Broome,Broome County Sheriff,2015,65,9
Broome,Broome County Sheriff,2014,65,8
Broome,Broome County Sheriff,2013,69,1
Broome,Broome County Sheriff,2012,73,1
Broome,Broome County Sheriff,2011,66,1
Broome,Broome County Sheriff,2010,69,5
Broome,Broome County Sheriff,2009,71,0
Broome,Broome County Sheriff,2008,74,0
Broome,Broome County Sheriff,2007,72,0
Broome,Deposit Vg PD,2019,0,13
Broome,Deposit Vg PD,2018,0,12
Broome,Deposit Vg PD,2017,0,14
Broome,Deposit Vg PD,2016,1,12
Broome,Deposit Vg PD,2015,1,10
Broome,Deposit Vg PD,2014,1,15
Broome,Deposit Vg PD,2013,1,8
Broome,Deposit Vg PD,2012,1,7
Broome,Deposit Vg PD,2011,1,7
Broome,Deposit Vg PD,2010,2,8
Broome,Deposit Vg PD,2009,2,9
Broome,Deposit Vg PD,2008,3,12
Broome,Deposit Vg PD,2007,3,9
Broome,Endicott Vg PD,2019,32,6
Broome,Endicott Vg PD,2018,30,4
Broome,Endicott Vg PD,2017,31,6
Broome,Endicott Vg PD,2016,30,6
Broome,Endicott Vg PD,2015,30,6
Broome,Endicott Vg PD,2014,31,6
Broome,Endicott Vg PD,2013,31,6
Broome,Endicott Vg PD,2012,38,6
Broome,Endicott Vg PD,2011,38,7
Broome,Endicott Vg PD,2010,38,7
Broome,Endicott Vg PD,2009,38,9
Broome,Endicott Vg PD,2008,39,9
Broome,Endicott Vg PD,2007,41,9
Broome,Johnson City Vg PD,2019,43,7
Broome,Johnson City Vg PD,2018,42,7
Broome,Johnson City Vg PD,2017,39,5
Broome,Johnson City Vg PD,2016,38,5
Broome,Johnson City Vg PD,2015,38,5
Broome,Johnson City Vg PD,2014,37,5
Broome,Johnson City Vg PD,2013,37,5
Broome,Johnson City Vg PD,2012,36,6
Broome,Johnson City Vg PD,2011,33,6
Broome,Johnson City Vg PD,2010,36,8
Broome,Johnson City Vg PD,2009,44,3
Broome,Johnson City Vg PD,2008,45,3
Broome,Port Dickinson Vg PD,2019,5,6
Broome,Port Dickinson Vg PD,2018,5,6
Broome,Port Dickinson Vg PD,2017,5,7
Broome,Port Dickinson Vg PD,2016,5,8
Broome,Port Dickinson Vg PD,2015,5,5
Broome,Port Dickinson Vg PD,2014,5,4
Broome,Port Dickinson Vg PD,2013,5,7
Broome,Port Dickinson Vg PD,2012,5,6
Broome,Port Dickinson Vg PD,2011,5,4
Broome,Port Dickinson Vg PD,2010,5,4
